Earthquake_Magnitude,Ocean_Depth,Proximity_to_Plate_Boundary,Seafloor_Displacement,Coastal_Population_Density,Wave_Energy,Distance_from_Epicenter,Tsunami
7.8057182784,51.97450469,0.1606813733,2.6791032165,356.5856518245,169.3494381179,448.3827123132,1
7.6604674913,88.1864806441,0.410396827,9.8414075522,200.8350119512,259.1422396183,484.7352166377,1
9.2310142518,126.2193692234,0.257902827,2.5379882865,701.778897932,471.750395651,278.381446507,1
8.6432253789,56.3972821758,0.7694929332,2.683393737,391.3113127638,270.1745754466,253.8051893422,1
7.9848194648,34.9287872161,0.6106200424,3.5976749792,623.1143992804,161.7450861097,240.5700509274,1
8.5651788651,26.7370597869,0.3366042782,2.2097320925,157.0374734255,495.984092956,161.1769224874,1
9.1197488917,53.1032851193,0.6815027222,7.842050739,636.0748665471,288.6304754201,205.9204570736,1
8.1977365331,140.8387887522,0.8306194078,9.685242196,211.867501137,392.3469900815,469.1702284105,1
7.8624661323,28.6445147577,0.7411206493,6.1702580186,857.6458990824,155.9089506505,397.6336559299,1
7.9032546401,41.2752725725,0.1642657979,8.3311724821,698.6774986266,309.2261699076,179.4152420618,1
9.2544010816,71.0178639649,0.8165994395,4.9522141771,439.2499864824,285.0719142678,150.6889370821,1
8.9952187604,85.353650712,0.2322126951,9.0961711595,445.5020992359,317.4211444456,453.2360554823,1
8.7484759918,35.1967452921,0.9398321236,6.6493724776,401.4150531914,155.7088290654,397.0125946351,1
8.7401455119,89.3499419569,0.8938925831,8.097374901,236.5073917595,224.6888271182,124.2445699072,1
8.9878925851,24.3592165157,0.5698896849,7.8621281717,889.0890730856,236.8326994864,410.628652336,1
7.7212634739,130.0387979255,0.1274886623,4.575585615,817.5658292016,159.9669709395,114.6256976163,1
8.9445051368,113.604749751,0.6411476329,7.2455360002,588.4519990128,200.7196235628,172.847996752,1
7.8631954336,138.0985729734,0.5833917948,4.6076627509,515.8052232797,478.9133358447,76.675701558,1
8.672459664,85.765528255,0.6114542354,1.1629916544,884.9115180497,472.8473129934,282.5665917946,1
8.8933016478,139.924919553,0.7072386343,2.3728513862,618.6595241501,342.6860185531,212.0653356512,1
8.9728884712,141.46771192,0.9255685129,5.0575543426,201.9142412567,493.9364795849,419.449043223,1
7.7493253624,139.7094447403,0.8698963621,5.6695425141,632.1478921704,259.6010815481,27.380819411,1
8.1703944833,124.3709483177,0.004632023,4.0014925452,458.3518242318,314.9582411752,459.9278082064,1
8.1926919887,65.1039162465,0.7375012481,5.069961468,302.144340646,280.9758064531,70.4285101899,1
7.852773973,84.7878104561,0.4189254495,9.2336131096,426.154509205,332.2353401112,316.1321439598,1
7.5261889132,106.2598583622,0.1780359669,9.6496328572,233.7964549778,265.8496494908,42.6748340393,1
9.4937485037,85.2853513431,0.5953850173,1.6036882965,774.9644233593,183.9622372382,449.0271447204,1
7.910279281,44.7894036863,0.0365496678,5.248602506,608.3570199364,126.2834557713,387.7638083475,1
8.4065776695,88.1707350126,0.4407627469,4.6068675479,603.6762981774,162.0960983723,90.9640652476,1
9.223571242,142.9950100774,0.3733093163,3.4367020583,679.5995889151,263.4936684392,12.6931778302,1
7.8123051947,113.0763897502,0.6589239419,1.2438639325,299.7749457397,192.4299186352,335.9463717994,1
7.5394210755,33.534115658,0.7999160854,2.6069019585,687.4714970667,195.2731124187,49.7206963797,1
7.986344382,113.8947011412,0.8556964681,8.4719787811,457.4651766566,367.2340546283,102.4921477079,1
8.0862954605,136.5236564077,0.0130019235,1.7695767777,287.0976296314,110.6128815495,90.7177175449,1
8.6660831219,74.785191577,0.8926717111,8.3569920556,407.6356165281,203.7693733725,189.8462040836,1
8.680589885,54.848273307,0.6241489078,4.6847048697,596.8424627668,274.4506116541,147.232879771,1
9.3969066139,119.2687532408,0.1401131758,8.8162117831,538.6880784246,457.8208907576,399.9276279737,1
8.3504270089,22.9210100816,0.2686773594,5.8747079319,670.1303978435,203.1550741733,69.6780370364,1
9.1698604736,147.9722834915,0.5256901823,2.5451135726,345.0765938674,107.356270619,457.1494032803,1
7.7355021658,94.9471418169,0.2740552207,5.9876020226,686.2783495167,431.8967214829,103.2106358803,1
7.5219916573,37.7951319089,0.9000186418,8.8650106981,637.6717919533,340.2067441735,332.5183372731,1
7.8507425572,138.8735529702,0.4187705249,4.4482467542,567.0259347546,118.78638671,83.141684378,1
8.9760672329,30.7638268303,0.6031521095,3.2081419871,450.3660526378,215.4774947083,177.8363582325,1
8.9380918104,58.625823031,0.5664046403,5.2844536198,697.3040488264,474.7318957299,366.2860486051,1
7.9298807572,24.053807558,0.2622640443,6.3557013763,146.2832321358,298.5464988805,298.4214244584,1
8.1684877816,120.218586487,0.1065982531,1.6762400356,755.3698805832,298.1965264825,344.2011982139,1
8.3696546772,52.0322643211,0.8191023177,8.1947429107,725.226823769,208.858054892,295.1153334345,1
8.2219477939,31.9056695325,0.9173135755,2.2313676783,955.2136184387,278.4023091832,92.5664644193,1
8.5838018948,133.4829586639,0.7322248864,8.2590503308,692.9050300396,376.9106258071,424.5978257827,1
7.9993360177,83.6252452736,0.2212094418,9.889012072,949.653405718,115.7707245474,352.7875862578,1
9.3504966348,43.4747948666,0.5679452306,9.2393946783,130.5513807272,378.9681068987,148.6745036863,1
9.3487923908,146.2375718715,0.9442664891,5.2679279499,875.8383858904,437.819759414,159.5502366216,1
9.1578309483,24.810992513,0.5962698785,3.0700795356,208.5101971996,130.7812806517,348.1443879391,1
8.1797499275,114.2196802987,0.0653563408,3.8376130405,585.5421631378,416.2892659356,159.376251466,1
8.7517827529,135.1771072707,0.6158631882,3.0966352728,121.9607034009,448.0395495604,10.6347054252,1
9.2494033454,88.7618274235,0.9390676985,8.189049122,998.14069948,240.2847261807,383.5941444656,1
8.3038618272,82.3838306395,0.6275054632,8.8630940277,985.6751222794,407.3093655458,208.8833910837,1
8.3427140046,115.8856992066,0.2387771458,1.9942670182,419.1599418767,214.8955966616,148.154060228,1
7.9672155021,25.4721146527,0.0178739347,9.8895015076,484.9958203623,253.7306588639,339.8236413465,1
7.9365077757,143.4949539135,0.7863450144,1.8046990208,475.8226982064,451.6473230249,472.3660111457,1
8.4348030225,99.7434805974,0.1670339461,9.9205176352,308.5045312451,477.0927096541,324.8233244962,1
8.7154735898,86.6495064321,0.2306698117,2.588752288,298.4375881632,174.5753048577,389.7922367834,1
8.2002505183,27.5195479532,0.9691026301,8.9540729647,934.9770548757,497.9631290586,86.9476246097,1
8.2924840378,118.5710018415,0.6960206181,2.3850631571,834.2498124916,189.7762287347,111.9088074113,1
8.5739488458,97.0821915294,0.5800862078,1.8233815366,889.7147763673,206.2400170355,64.7574606414,1
9.2774961597,144.2346947699,0.8621276173,8.2856446725,689.7177825751,320.3429482437,43.4933799557,1
8.3169064261,68.4495072116,0.2597537838,7.5107810232,546.2881615709,132.4184863631,110.0916009749,1
8.8665175273,29.8970117337,0.851206914,5.4563187431,532.527919594,336.9631138638,412.3404829626,1
8.1956184158,108.1420998327,0.565731964,3.4032544315,890.7669877196,418.9704086428,329.2259173292,1
9.2011634582,132.7482461248,0.7083629767,8.5331199553,727.7243155024,372.0563087041,309.3056891076,1
9.0054332791,40.6186636881,0.8808707592,8.8465917497,126.3225547311,430.3267002259,64.4349337367,1
8.1702377085,116.6560733179,0.160759896,8.3617032171,848.920760162,302.9870935043,3.1929358584,1
8.0740762663,100.2004993888,0.981186178,6.6863217432,333.8232229577,353.6022812398,269.9926898579,1
9.0596907903,33.9074830475,0.7610279025,5.8713992081,966.6928034731,236.7488664155,316.310946567,1
9.364056211,33.3262646388,0.9372284872,7.1909715007,161.0533531947,220.3854267787,354.0860443226,1
7.6347012029,95.6821598229,0.345883057,6.5882396599,141.1678304313,448.614722461,486.7444845887,1
9.4377557106,117.4547381266,0.1300862401,7.8243687634,122.1282248129,108.8494206116,161.8051095748,1
8.4772863808,120.152964315,0.6832953766,5.0131243574,346.2639996535,498.8498000631,213.090651118,1
8.4027740487,41.2710967549,0.7948095487,7.243140032,298.6926515099,132.9524182463,340.2496510374,1
8.8090224286,55.5237385098,0.9508635623,2.359521026,489.1013209383,477.446368067,209.8636584631,1
8.7770518953,71.6872717352,0.2742152023,9.8557988316,468.4006056835,457.6396814717,114.9773029455,1
7.9262094081,24.047430775,0.6516668254,4.3167370935,877.9224248557,289.2839626766,484.0967139574,1
7.8710510314,132.9210118342,0.7765968528,7.9382966018,860.3049053052,404.4095963772,313.1101608157,1
7.7624897554,24.2284033339,0.9208478478,6.5498528307,816.8835618786,292.608940605,58.6540944812,1
7.7503715844,109.1234873398,0.4303058949,2.8047225403,542.4350920673,125.6835748301,290.9857009572,1
8.0379868089,123.6826830828,0.3103619589,5.0969813417,110.4584859173,128.9787551178,196.2467782033,1
8.4598776694,98.0026712555,0.2916625787,7.2548369751,874.1101574703,411.9403955573,19.8094126742,1
8.4610138945,33.6409231944,0.2420450159,9.8799633394,228.2459886114,299.5552613805,309.0778671591,1
8.9049299411,92.7543288533,0.0097708474,3.9381517742,565.9404790462,135.1465996579,175.3134656046,1
7.5664062176,30.2152046302,0.3969232762,2.1944417864,610.7867634354,375.7859876549,400.2933495545,1
7.9003004885,41.7727356937,0.1045678403,6.7278722459,735.8281538382,112.6344579303,468.1061231218,1
7.6039425673,90.3685235891,0.7090605195,8.8387221137,742.6782389192,420.6912332279,169.7250962714,1
9.1296502275,30.41493003,0.8948166561,5.9283313854,835.5679929662,280.9273138073,321.7888475983,1
8.5528053219,115.1066378282,0.081629982,1.5431687559,322.3929106091,163.8178720453,435.8917832961,1
7.9384279747,146.8624832565,0.3368957918,2.6390612412,810.7286564282,363.4831102004,249.0978582266,1
8.6107271019,113.4962311754,0.2284547413,9.9670052445,977.3138459321,360.1302745388,99.7712254646,1
8.8604564849,29.3857931673,0.0306525022,3.3191459966,516.3606610654,447.3090021634,363.5845348832,1
8.9854130424,75.3141334782,0.3459349925,4.3393488669,988.8846073625,116.043676565,433.5157480612,1
8.6573508171,77.0200044946,0.7252576604,5.3800204728,886.0809142735,460.2807456045,210.8604634367,1
8.0536555945,97.0055427171,0.9123633456,2.8959597011,660.6699252071,352.624088037,366.5565112076,1
7.7631353703,113.0572454087,0.9090325207,2.6171479798,313.7889924315,488.5580376167,90.4884763547,1
9.2087701867,83.9961213382,0.2472310744,8.8367491115,500.7747295024,305.9269415719,179.6166846999,1
8.6859017029,41.2581034361,0.3910815367,9.724710901,332.320089431,362.6946658165,162.5950321123,1
9.0469462514,37.0135758934,0.9698210451,5.0841058725,312.4454170118,129.398698932,84.8789525438,1
8.5395478971,63.8104129361,0.8288833659,4.877987713,323.8428453289,346.8579946416,353.3886084427,1
7.8340838158,41.7904981175,0.0366714269,7.6276181356,697.4240748596,289.8523502999,422.0852244846,1
9.1113403059,96.0960673716,0.8682712805,2.8525708903,200.727657458,207.8998446068,28.5434280447,1
8.562339056,141.7587399983,0.0393435407,2.0989892261,506.9791254551,473.5500070112,158.0780524884,1
8.5144696174,25.4044716766,0.148343201,9.8796711066,968.6068267924,101.9759923738,475.9058927116,1
8.7782398756,132.8293782876,0.4547398556,5.6403642572,539.9619222312,366.7457030184,69.8256273782,1
7.5599471797,60.0308924069,0.7046807627,2.8166810691,706.0891899924,487.9648184429,46.9503578947,1
8.8452042365,77.6875285096,0.8681422544,2.594348105,723.3633570035,435.2461158592,472.307109737,1
8.8664960566,84.6327193211,0.6178472402,8.8201448603,613.5487719749,112.1548238787,465.4743477535,1
8.8790535021,107.946740151,0.2156751524,6.9299692321,454.4779650887,360.4931908166,53.296515154,1
8.8156906092,149.9237843502,0.0482120389,9.794567658,466.2171646506,448.3013801349,391.1927420291,1
8.634032522,115.9983972027,0.8785155613,4.6372628949,394.3298454069,367.0373542254,403.9229709706,1
9.0245702696,123.7157743516,0.4355833148,8.3605079456,208.1881498335,317.7956391843,2.8793302491,1
8.1491716598,67.6399995333,0.3961726916,7.2592048602,449.7022911433,279.477449049,118.7720654372,1
8.2465035833,49.5450515442,0.0731959238,6.4310373404,701.3915186995,347.7961384038,231.7470219003,1
8.2595715604,132.2333744443,0.5190817851,5.3126368987,123.0778592258,236.4991310505,190.0978093929,1
8.2976455618,95.4224079996,0.5336025467,6.4711458351,788.3949353879,425.1942954864,359.0615381132,1
9.4110473919,22.3702357479,0.1957779857,1.0680658748,682.7272427391,459.21221958,121.7411482882,1
9.3540690896,27.8347607376,0.9344360268,4.1646041852,191.2787456043,294.3487036745,128.3882838603,1
8.0697458039,59.9476954404,0.8030258978,5.8524514901,380.1769292404,344.1335133244,358.0753371116,1
8.0452480015,73.7613831983,0.1218860933,2.6303441458,713.0060685685,172.5753390783,262.5816918335,1
8.9180925234,33.8940000023,0.5673122196,3.3090650533,966.6341877138,293.418258688,402.9962748876,1
8.6004530843,25.6436292711,0.6331513756,9.5626300799,641.4506381317,427.6755437707,442.1032316742,1
7.9561595439,47.5658291881,0.6109809889,4.6992562283,855.87517258,460.0092493592,176.7106896514,1
7.9737411179,121.4683169817,0.2748060355,8.4035288666,481.3644282839,367.0199597166,47.7676569173,1
8.7477186494,78.7297982358,0.5866084632,2.5121278697,763.1863704498,445.1188310173,108.3699000454,1
7.691429111,23.073016186,0.6419715004,6.4638463248,592.0276714427,192.7788384464,195.4529979528,1
8.6889526704,84.5796916517,0.9877855202,2.227957773,725.6300986428,261.7275072417,214.0998074628,1
8.9351955313,110.0166996722,0.9912559937,2.1555486051,193.6986844458,389.7355268515,289.1934585032,1
8.0483213331,30.3245179686,0.0856582496,9.047717872,272.6805922469,229.3486248462,113.3282011135,1
8.2099926117,29.025099557,0.5190597909,1.6085130723,820.3208570401,193.4848327642,270.0059573023,1
9.2601581751,104.6140579761,0.5329577866,3.919003778,399.7017217524,367.7947820793,497.0696806106,1
8.8236783797,92.5118442581,0.7306505102,5.1868505106,154.1281083407,324.9187263512,478.8126422527,1
7.8506058847,109.7006358067,0.2009336887,5.8224491603,187.008804682,280.1483745033,378.0816644476,1
8.1951430485,106.4385241833,0.7954499608,9.3446003753,311.1778736699,259.7263663237,76.2080066652,1
9.4849670043,140.5101258302,0.5399571303,8.5782996494,568.8621795448,349.4342752011,44.562216058,1
9.010540841,36.6027528726,0.8260676303,8.038252789,737.8702279687,114.4641522099,151.5641779727,1
8.0262251398,66.8177329713,0.0876427468,9.4326204073,598.4220166411,222.2097242632,198.4907585371,1
8.394405081,98.0772633369,0.5156794277,9.2745277589,547.2671346152,496.8632059293,425.7124788725,1
7.9170210287,140.9773779037,0.1163663979,8.3570473764,442.5609641289,451.189728178,434.0283450537,1
9.1118508002,122.7039567199,0.3046791391,1.7282735475,462.6821608886,169.4098059946,347.4755444512,1
8.1921994531,146.8293261118,0.6409720773,8.4023250727,219.2722054677,444.805792909,461.3785952567,1
8.4741238376,98.8128819076,0.7648098009,2.5735476453,552.3094688171,259.4652111089,73.1869960811,1
8.2350688446,28.8624002201,0.0258119069,2.2164966024,966.8036004303,319.811814358,482.9110805766,1
8.3649957567,60.5360973011,0.5061418628,4.9556051977,195.0982158356,356.3305258761,108.0190912548,1
8.7391759098,104.5261420118,0.1520248531,1.552146644,802.6854274616,283.9201695077,29.0818977527,1
9.4897326343,27.5114729295,0.6950352289,9.8531103274,315.2620937943,156.8997474749,60.6924697112,1
8.1065502951,33.1359554314,0.6921613417,1.5606261832,558.4799153348,498.6787415412,406.985134753,1
8.7304388765,59.8129707023,0.6238958363,5.7433731752,483.4750455013,152.2841506961,443.3021076202,1
8.3995692976,45.3009265367,0.3677593509,4.7271677728,844.7841060102,393.4457522246,384.6524468207,1
7.5220625289,74.1000197634,0.4813441516,1.1727304914,333.8318878705,404.1159292489,68.5548528645,1
8.5706202629,47.9762433622,0.0121207746,3.1708131184,978.286379419,420.6148447532,479.7883221605,1
8.4757080879,34.2657058281,0.547959489,5.089396011,859.9213744657,139.2330323137,244.1205685109,1
7.8000973294,62.2078704957,0.7373570774,5.2841631643,438.2994566312,257.790511428,229.723384203,1
9.0700330877,135.9710095622,0.9553346865,8.0821304763,383.8662061732,375.2538824346,218.8015620277,1
8.0093412441,129.3133053254,0.038426349,9.1158579292,515.3297181623,354.8805907233,329.6769611029,1
9.2902354814,102.7670586817,0.6139335848,1.599868365,566.5672197507,160.0676003268,368.7168843607,1
8.5244438416,108.4296112971,0.0416729006,1.7631281444,744.6910492564,128.8337343995,35.6283638826,1
7.5242169505,144.3451817789,0.7375083595,4.1792626765,366.8820231589,239.8812918983,387.3267655906,1
8.8227412221,44.0754238228,0.1741093353,1.8855608474,694.2724477312,405.7490648887,132.5232141625,1
7.5418899221,30.6823167719,0.9678600348,3.6590029973,792.3008330543,349.8654275417,190.9698198264,1
7.9113745244,35.7802343607,0.615012968,7.9717040257,679.513828187,312.1208532997,20.9756117158,1
9.4369775552,123.8328449151,0.2928220367,9.8197329642,641.6934306727,332.9690632829,374.0365897148,1
9.1235395762,105.3422189531,0.1280957464,4.044407554,935.2752762934,189.8462447375,186.0835119188,1
8.3641537659,77.1226486603,0.6129395825,9.4876825397,316.6234406493,148.6005505204,98.73524493,1
9.2738498004,103.9554056452,0.2859067892,8.3435224507,875.2329967271,438.6057354761,459.4632668198,1
8.0044820403,118.155450737,0.4605394973,8.577986976,755.6416094455,410.5789785999,328.0809188405,1
7.8548575389,90.8534994566,0.9846697395,9.4364925985,138.8563622173,165.9259262918,65.8643867273,1
8.95195982,126.3120928814,0.2135113663,5.5526742366,856.6327252101,393.1206179065,271.1186027459,1
8.6806953809,86.0868710991,0.2975484513,6.0851979357,719.9967718451,449.3291663443,318.1456769896,1
9.0222430741,40.8093125441,0.4615574744,1.0839845784,322.0109780695,390.5846860452,495.9049756747,1
7.6983561992,72.194261062,0.8000709687,2.8363207117,599.5764543721,393.2285184119,307.9927251301,1
7.8760494692,66.1999939291,0.7837917845,5.9880386272,104.7066521886,404.3963040112,17.6556774701,1
8.9914675655,46.3224728215,0.9580734801,4.3114667617,394.2384547043,159.555220133,152.8021077451,1
9.2533015237,149.5234638915,0.3683095305,5.0374956786,749.8638443825,454.478312186,296.5221670934,1
